Heptano,
% T,Número de ondas
"3,538.00",99.860398
"3,537.00",99.885177
"3,536.00",99.936995
"3,535.00",99.978845
"3,534.00",99.982538
"3,533.00",99.945071
"3,532.00",99.87584
"3,531.00",99.785246
"3,530.00",99.682109
"3,529.00",99.577306
"3,528.00",99.481314
"3,527.00",99.397894
"3,526.00",99.333244
"3,525.00",99.310954
"3,524.00",99.360946
"3,523.00",99.482106
"3,522.00",99.634249
"3,521.00",99.780001
"3,520.00",99.91001
"3,519.00",100.019788
"3,518.00",100.092957
"3,517.00",100.110165
"3,516.00",100.072132
"3,515.00",100.000501
"3,514.00",99.919653
"3,513.00",99.845289
"3,512.00",99.793652
"3,511.00",99.78787
"3,510.00",99.834808
"3,509.00",99.897267
"3,508.00",99.918407
"3,507.00",99.87267
"3,506.00",99.771349
"3,505.00",99.64956
"3,504.00",99.563344
"3,503.00",99.55944
"3,502.00",99.634269
"3,501.00",99.746673
"3,500.00",99.857214
"3,499.00",99.939356
"3,498.00",99.984295
"3,497.00",100.008361
"3,496.00",100.041042
"3,495.00",100.096287
"3,494.00",100.158862
"3,493.00",100.200491
"3,492.00",100.204815
"3,491.00",100.177808
"3,490.00",100.139795
"3,489.00",100.108761
"3,488.00",100.087361
"3,487.00",100.062994
"3,486.00",100.023961
"3,485.00",99.971051
"3,484.00",99.916281
"3,483.00",99.879244
"3,482.00",99.880786
"3,481.00",99.928933
"3,480.00",100.008307
"3,479.00",100.086355
"3,478.00",100.131015
"3,477.00",100.132217
"3,476.00",100.110934
"3,475.00",100.098981
"3,474.00",100.108931
"3,473.00",100.130394
"3,472.00",100.149504
"3,471.00",100.161268
"3,470.00",100.165427
"3,469.00",100.163757
"3,468.00",100.160915
"3,467.00",100.158335
"3,466.00",100.146319
"3,465.00",100.110677
"3,464.00",100.053762
"3,463.00",100.003087
"3,462.00",99.990707
"3,461.00",100.023507
"3,460.00",100.078726
"3,459.00",100.12766
"3,458.00",100.15802
"3,457.00",100.174636
"3,456.00",100.188605
"3,455.00",100.202386
"3,454.00",100.208258
"3,453.00",100.19733
"3,452.00",100.169028
"3,451.00",100.129005
"3,450.00",100.078246
"3,449.00",100.015292
"3,448.00",99.954096
"3,447.00",99.922715
"3,446.00",99.935408
"3,445.00",99.984113
"3,444.00",100.050542
"3,443.00",100.115791
"3,442.00",100.165119
"3,441.00",100.19289
"3,440.00",100.206999
"3,439.00",100.221494
"3,438.00",100.241218
"3,437.00",100.255783
"3,436.00",100.255381
"3,435.00",100.244162
"3,434.00",100.234571
"3,433.00",100.230577
"3,432.00",100.225071
"3,431.00",100.212902
"3,430.00",100.195969
"3,429.00",100.176728
"3,428.00",100.152118
"3,427.00",100.116761
"3,426.00",100.068972
"3,425.00",100.014383
"3,424.00",99.966376
"3,423.00",99.940721
"3,422.00",99.945741
"3,421.00",99.976045
"3,420.00",100.018977
"3,419.00",100.06542
"3,418.00",100.111044
"3,417.00",100.151466
"3,416.00",100.18425
"3,415.00",100.211869
"3,414.00",100.234328
"3,413.00",100.242682
"3,412.00",100.228888
"3,411.00",100.200386
"3,410.00",100.177635
"3,409.00",100.177144
"3,408.00",100.1979
"3,407.00",100.22136
"3,406.00",100.223468
"3,405.00",100.192386
"3,404.00",100.142015
"3,403.00",100.10269
"3,402.00",100.094619
"3,401.00",100.111611
"3,400.00",100.131891
"3,399.00",100.13867
"3,398.00",100.127869
"3,397.00",100.10304
"3,396.00",100.071011
"3,395.00",100.042823
"3,394.00",100.031793
"3,393.00",100.046248
"3,392.00",100.081477
"3,391.00",100.12035
"3,390.00",100.145167
"3,389.00",100.148956
"3,388.00",100.138135
"3,387.00",100.124917
"3,386.00",100.118179
"3,385.00",100.119864
"3,384.00",100.127825
"3,383.00",100.136242
"3,382.00",100.136378
"3,381.00",100.122922
"3,380.00",100.101575
"3,379.00",100.087629
"3,378.00",100.09444
"3,377.00",100.124257
"3,376.00",100.166035
"3,375.00",100.199577
"3,374.00",100.20569
"3,373.00",100.179321
"3,372.00",100.13267
"3,371.00",100.083096
"3,370.00",100.040345
"3,369.00",100.008099
"3,368.00",99.99118
"3,367.00",99.991438
"3,366.00",99.998456
"3,365.00",99.995346
"3,364.00",99.977517
"3,363.00",99.958619
"3,362.00",99.954736
"3,361.00",99.966698
"3,360.00",99.980702
"3,359.00",99.983524
"3,358.00",99.976157
"3,357.00",99.974915
"3,356.00",99.997549
"3,355.00",100.045553
"3,354.00",100.101743
"3,353.00",100.148019
"3,352.00",100.180576
"3,351.00",100.204187
"3,350.00",100.216832
"3,349.00",100.20989
"3,348.00",100.183258
"3,347.00",100.150631
"3,346.00",100.129234
"3,345.00",100.128592
"3,344.00",100.148371
"3,343.00",100.17829
"3,342.00",100.198745
